met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
85119.388238,PHASING,8,0,1,None,Holding,0,365895.299961,7688.694536,7393.700451,-8.989821,0,0,0,8700.73507,0.000194,0,75.400719,0,0,,1,0,0,0,15.277443,0,0.001435,0,0,0,0,0,0.082221,1.936191,-0.351143,0,38.503632,16.104626,38.779854,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-52246.092238,-74560.205682,-874.344747,91047.4761,47.698829,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551345,13.558693,10.319138,10.690351,0,0,0,0,0,0,1,0,,,,,,,,,,,,
85119.648238,PHASING,8,0,1,None,Holding,0,365892.961769,7688.697206,7393.702791,-8.99178,0,0,1817.954687,8700.73507,0.000194,0,75.376805,0,0,,1,0,0,0,75.665434,0,0.001464,0,0,0,0,0,0.083898,1.936203,-0.350838,0,38.503624,16.104626,38.77985,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-50965.880334,69856.867919,-2217.226891,86500.977155,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551341,13.558687,10.319134,10.690348,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85119.888238,PHASING,8,0,1,None,Holding,0,365890.623064,7688.699877,7393.70513,-8.993737,0,0,3630.535382,8700.73507,0.000194,0,75.35256,0,0,,1,0,0,0,75.597173,0,0.001491,0,0,0,0,0,0.085445,1.936208,-0.350417,0,38.503635,16.104626,38.779858,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-48848.407841,63826.920221,-2693.111762,80419.497291,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551336,13.558696,10.319139,10.690351,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85120.168238,PHASING,8,0,1,None,Holding,0,365888.283847,7688.702548,7393.707468,-8.995695,0,0,5453.867696,8700.73507,0.000194,0,75.328001,0,0,,1,0,0,0,75.485685,0,0.001521,0,0,0,0,0,0.087155,1.936224,-0.349896,0,38.503632,16.104626,38.779854,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-46029.881618,56735.811337,-3333.121148,73135.572647,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551332,13.558696,10.319139,10.690352,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85120.408238,PHASING,8,0,1,None,Holding,0,365885.944117,7688.70522,7393.709805,-8.997651,0,0,7266.446866,8700.73507,0.000194,0,75.303097,0,0,,1,0,0,0,75.435478,0,0.001549,0,0,0,0,0,0.088776,1.936235,-0.349521,0,38.503632,16.104626,38.779854,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-42368.371689,51201.295116,-3537.558704,66551.978653,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551327,13.558696,10.319138,10.690351,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85120.688238,PHASING,8,0,1,None,Holding,0,365883.603875,7688.707892,7393.71214,-8.999607,0,0,9089.785555,8700.73507,0.000194,0,75.277892,0,0,,1,0,0,0,75.386586,0,0.001578,0,0,0,0,0,0.090433,1.936248,-0.348997,0,38.503632,16.104626,38.779854,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-38010.247234,46643.236078,-3234.722122,60256.400439,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551322,13.558693,10.319137,10.69035,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85120.928238,PHASING,8,0,1,None,Holding,0,365881.263121,7688.710565,7393.714475,-9.001561,0,0,10902.365821,8700.73507,0.000194,0,75.252341,0,0,,1,0,0,0,75.327636,0,0.001605,0,0,0,0,0,0.09196,1.936253,-0.348695,0,38.503628,16.104626,38.77985,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-33211.228797,42516.826372,-2559.348776,54011.262799,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551318,13.558694,10.319137,10.69035,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85121.208238,PHASING,8,0,1,None,Holding,0,365878.921855,7688.713239,7393.716808,-9.003515,0,0,12725.70826,8700.73507,0.000194,0,75.226484,0,0,,1,0,0,0,75.270872,0,0.001634,0,0,0,0,0,0.093595,1.936276,-0.348132,0,38.503635,16.104626,38.779858,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-28398.110016,38501.737489,-1685.01341,47871.449867,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551313,13.558697,10.319139,10.690351,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85121.448238,PHASING,8,0,1,None,Holding,0,365876.580078,7688.715913,7393.71914,-9.005469,0,0,14538.290277,8700.73507,0.000194,0,75.200318,0,0,,1,0,0,0,75.199379,0,0.001661,0,0,0,0,0,0.095183,1.936282,-0.347766,0,38.503628,16.104626,38.77985,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-23789.557448,34525.895158,-853.735337,41936.968704,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551308,13.55869,10.319137,10.690348,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85121.708238,PHASING,8,0,1,None,Holding,0,365874.237789,7688.718588,7393.721471,-9.007421,0,0,16356.254431,8700.73507,0.000194,0,75.173822,0,0,,1,0,0,0,73.340267,0,0.001689,0,0,0,0,0,0.096787,1.936296,-0.347257,0,38.503628,16.104626,38.77985,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,-16024.359067,5097.046404,27992.987272,32655.279849,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551303,13.558689,10.319136,10.69035,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
