met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll
0,-,0,0,0,,,,58536.054777,2164.441821,1900.801821,1001.765937,0,0,,84781.928122,0,0,1.975556,-0.070349,0,,1,0,0,0,178.024448,-0.070349,-0.001727,0.01976,1,0.000039,420782.031256,471228.875006,-0.09896,0.065114,-0.216903,34950.324231,15183.921875,151.174606,15183.929688,176325.244904,114.313062,-6174.328017,46.440139,354.759883,1,,0,,,,,,EntryBurn,0,0,3487.647852,-1001.765938,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.529998,,,
0.26,-,0,0,0,,,,58796.089744,2162.418123,1898.60639,998.970577,671.872497,5.984316,,84777.052224,0.779159,0,2.080686,-0.083428,0,,1,0,0,0,177.91931,-0.083428,-0.003641,0.022964,-1,-0.000008,420935.624836,471389.043607,-0.208601,-0.01269,0.395348,35033.584868,15182.291016,151.206543,15182.30957,209929.990768,114.261232,-6174.48573,46.436953,354.755917,1,,0,,,,,,EntryBurn,0,0,3484.649708,-998.970576,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.531042,,,
0.52,-,0,0,0,,,,59055.47341,2161.276479,1897.301957,996.618595,650.109187,5.989509,,84771.488488,0.148198,0,1.954956,-0.08851,0,,1,0,0,0,178.045052,-0.08851,-0.003136,0.02457,-1,-0.000008,420984.903902,471475.091941,-0.179693,-0.012787,0.264149,35037.519318,15182.291016,151.170654,15182.304688,209882.628918,114.261928,-6174.482744,46.436473,354.75532,1,,0,,,,,,EntryBurn,0,0,3482.021667,-996.618594,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.53317,,,
0.78,-,0,0,0,,,,59314.24123,2160.13974,1895.99986,994.266851,629.165532,5.995324,,84765.924752,0.015882,0,2.07254,-0.101741,0,,1,0,0,0,177.927476,-0.101741,-0.007992,0.026964,-1,0.000036,421062.240801,471560.675033,-0.457903,0.059646,0.818253,35061.98579,15176.230469,151.211899,15176.28125,209954.013824,114.262631,-6174.479125,46.435574,354.7542,1,,0,,,,,,EntryBurn,0,0,3479.388629,-994.266851,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.535219,,,
1.04,-,0,0,0,,,,59572.399017,2159.005056,1894.699892,991.915182,608.885648,6.001191,,84760.361969,0.017442,0,1.986119,-0.106952,0,,1,0,0,0,178.013874,-0.106952,-0.00787,0.028492,-1,0.000195,421063.463607,471622.315467,-0.450929,0.323532,0.551225,35008.043475,15173.18457,151.152924,15173.217773,209844.605923,114.263324,-6174.475531,46.434672,354.753077,1,,0,,,,,,EntryBurn,0,0,3476.750963,-991.915182,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.537159,,,
1.28,-,0,0,0,,,,59829.948747,2157.87232,1893.401964,989.563561,589.239995,6.007097,,84754.799902,0.017403,0,2.106372,-0.119115,0,,1,0,0,0,177.893618,-0.119115,-0.003331,0.033276,-1,-0.000034,421214.720125,471724.70091,-0.190856,-0.057365,1.659283,35084.7802,15169.773438,151.117676,15169.78125,209739.95924,114.264002,-6174.471987,46.43377,354.752037,1,,0,,,,,,EntryBurn,0,0,3474.108684,-989.563561,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.538967,,,
1.56,-,0,0,0,,,,60086.879248,2156.733518,1892.097919,987.20726,570.199261,6.013025,,84749.236882,0.016975,0,2.15047,-0.125,0,,1,0,0,0,177.849521,-0.125,-0.002862,0.035097,-1,0.000018,421219.801053,471730.32187,-0.163955,0.030125,1.155133,35090.563279,15167.96582,151.138947,15167.982422,209766.457081,114.264111,-6174.469882,46.432844,354.750799,1,,0,,,,,,EntryBurn,0,0,3471.456594,-987.20726,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.539429,,,
1.82,-,0,0,0,,,,60343.191521,2155.631281,1890.852167,984.864882,551.763095,6.019054,,84743.673861,0.028515,0,2.37743,-0.134708,0,,1,0,0,0,177.622593,-0.134708,-0.006959,0.0367,-1,-0.000328,421235.369418,471726.355557,-0.398719,-0.547139,0.521831,35084.583088,15164.787109,151.195389,15164.861328,209829.080105,114.265851,-6174.461116,46.435612,354.754249,1,,0,,,,,,EntryBurn,0,0,3468.813309,-984.864882,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.540015,,,
2.06,-,0,0,0,,,,60598.8883,2154.052491,1889.102824,982.29071,533.869702,6.024909,,84738.110125,0.107548,0,2.445002,-0.144663,0,,1,0,0,0,177.554996,-0.144663,-0.010539,0.038512,-1,-0.00036,421379.151706,471745.892644,-0.603861,-0.600551,0.942221,35156.615313,15162.120117,151.139648,15162.118164,209875.90313,114.240545,-6174.540844,46.43311,354.751213,1,,0,,,,,,EntryBurn,0,0,3465.944065,-982.29071,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.539514,,,
2.34,-,0,0,0,,,,60853.754439,2150.076236,1884.927797,978.570542,515.416377,6.024127,,84732.546151,0.847998,0,2.643742,-0.153338,0,,1,0,0,0,177.356259,-0.153338,-0.000713,0.043823,-1,-0.001184,421324.57915,471747.40368,-0.040839,-1.976819,2.125215,35110.649569,15159.522461,151.040283,15159.500977,209789.123535,114.081915,-6175.065519,46.4219,354.737152,0.25,,0,,,,,,EntryBurn,0,0,3461.973469,-978.570541,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.538754,,,
