met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
0,-,0,0,0,,,,58643.852878,2164.16978,1900.923676,1005.252821,0,0,,85121.575654,0,0,2.122211,-0.021788,0,,1,0,0,0,177.8778,-0.021788,-0.010334,1,-1,0.008862,398.981421,335.697027,-0.592109,0.111706,0.351349,266.384937,15230.897461,151.738617,15230.90332,92969.0063,114.807245,-6174.771721,46.4522,354.772818,1,,0,,,,,,EntryBurn,0,0,3510.489099,-1005.252822,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.530488,,,,,,,,,,,,,,,,,,,,,,,
0.24,-,0,0,0,,,,58904.76192,2162.142742,1898.725293,1002.42327,663.204904,5.988852,,85114.096224,0.775983,0,2.171787,-0.022028,0,,1,0,0,0,177.828218,-0.022028,-0.009915,1,-1,0.024867,398.339513,335.530509,-0.568085,0.313635,0.271766,266.585515,15226.681641,151.760925,15226.740234,301255.722046,114.751472,-6174.925283,46.449617,354.769689,1,,0,,,,,,EntryBurn,0,0,3507.294843,-1002.42327,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.531494,,,,,,,,,,,,,,,,,,,,,,,
0.52,-,0,0,0,,,,59164.977778,2160.997025,1897.414682,1000.035091,641.628908,5.994101,,85106.440008,0.136246,0,2.376927,-0.023038,0,,1,0,0,0,177.62306,-0.023038,-0.02252,0.158379,1,0.062937,397.081303,334.155444,-1.290298,0.792847,0.061647,266.24287,15222.675781,151.746048,15222.719727,308349.318504,114.748198,-6174.91833,46.449371,354.769299,1,,0,,,,,,EntryBurn,0,0,3504.495891,-1000.035091,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.533447,,,,,,,,,,,,,,,,,,,,,,,
0.76,-,0,0,0,,,,59424.563936,2159.854596,1896.107282,997.655701,620.865029,5.999971,,85098.37538,0.016296,0,2.438935,-0.023289,0,,1,0,0,0,177.561056,-0.023289,-0.018622,1,-1,0.061081,395.546733,333.842389,-1.066938,0.772022,0.781517,267.08999,15219.280273,151.72496,15219.257813,303591.156006,114.745887,-6174.912085,46.448978,354.768894,1,,0,,,,,,EntryBurn,0,0,3501.676594,-997.655701,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.534857,,,,,,,,,,,,,,,,,,,,,,,
1.04,-,0,0,0,,,,59683.513607,2158.715723,1894.802476,995.294491,600.759398,6.005889,,85090.338647,0.017496,0,2.795308,-0.025004,0,,1,0,0,0,177.204702,-0.025004,-0.018386,1,-1,0.045891,397.116789,331.984733,-1.053439,0.580303,0.153535,267.175103,15216.192383,151.69957,15216.222656,302707.519531,114.745557,-6174.907508,46.448155,354.767785,1,,0,,,,,,EntryBurn,0,0,3498.871402,-995.29449,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.536173,,,,,,,,,,,,,,,,,,,,,,,
1.3,-,0,0,0,,,,59941.838973,2157.579288,1893.498977,992.919796,581.280756,6.011841,,85082.976997,0.019135,0,3.097572,-0.02608,0,,1,0,0,0,176.902447,-0.02608,-0.034682,-1,-1,0.098412,392.108546,332.973472,-1.987158,1.259358,1.422945,270.290667,15209.742188,151.65329,15209.751953,280542.640686,114.743734,-6174.901387,46.447331,354.766759,1,,0,,,,,,EntryBurn,0,0,3496.08849,-992.919796,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.537359,,,,,,,,,,,,,,,,,,,,,,,
1.54,-,0,0,0,,,,60199.526608,2156.439764,1892.193319,990.552353,562.403319,6.017809,,85075.13231,0.018475,0,3.457857,-0.027385,0,,1,0,0,0,176.542152,-0.027385,-0.02492,0.76425,-1,0.146789,391.250537,332.834778,-1.427821,1.899074,0.994131,273.245586,15204.588867,151.643814,15204.604492,304357.409477,114.742662,-6174.89731,46.446495,354.765802,1,,0,,,,,,EntryBurn,0,0,3493.279962,-990.552354,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.536965,,,,,,,,,,,,,,,,,,,,,,,
1.82,-,0,0,0,,,,60456.670345,2155.337289,1890.944135,988.288166,544.135288,6.023907,,85067.091286,0.023227,0,3.740074,-0.028035,0,,1,0,0,0,176.259937,-0.028035,-0.014694,1,-1,0.159078,384.475256,332.276437,-0.841892,2.076477,0.444342,275.765437,15200.070313,151.685425,15200.134766,303919.258118,114.752982,-6174.8962,46.447669,354.767181,1,,0,,,,,,EntryBurn,0,0,3490.553028,-988.288166,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.538138,,,,,,,,,,,,,,,,,,,,,,,
2.08,-,0,0,0,,,,60713.181459,2153.766207,1889.194378,985.639799,526.395712,6.029756,,85059.022844,0.118103,0,3.926438,-0.028341,0,,1,0,0,0,176.073572,-0.028341,-0.025722,0.841346,-1,0.191921,377.522373,331.988071,-1.473769,2.525378,0.769541,277.870317,15199.006836,151.62085,15199.047852,302592.597008,114.719584,-6174.964988,46.445041,354.763907,1,,0,,,,,,EntryBurn,0,0,3487.45576,-985.639799,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.53891,,,,,,,,,,,,,,,,,,,,,,,
2.32,-,0,0,0,,,,60968.937978,2149.998032,1885.269404,982.126663,508.226694,6.029665,,85050.979674,0.781873,0,4.035827,-0.028669,0,,1,0,0,0,175.964179,-0.028669,-0.009135,1,-1,0.123777,372.775356,332.038999,-0.523377,1.638872,0.337752,279.527608,15193.552734,151.579193,15193.582031,303613.572121,114.583722,-6175.461234,46.439584,354.757191,0.25,,0,,,,,,EntryBurn,0,0,3483.530342,-982.126663,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.540024,,,,,,,,,,,,,,,,,,,,,,,
