row,part_idx,part_name,stage,mass_t,ax,ay,az,bx,by,bz,power_kn,eP,eY,eR,useZ
COM,-1,Crew-2,0,0,0.1833818,0.003214907,0.3034017,0,0,0,0,0,0,0,0
REF_RIGHT,-1,ctf.right,0,0,-0.08945382,-0.9939048,0.0644328,0,0,0,0,0,0,0,0
REF_UP,-1,ctf.up,0,0,-0.1196651,-0.05349863,-0.991372,0,0,0,0,0,0,0,0
REF_FORWARD,-1,ctf.forward,0,0,0.9887763,-0.09639227,-0.1141502,0,0,0,0,0,0,0,0
PART,0,TE.18.DRAGONV2.POD,0,5.84829,-0.006734326,-0.0004004384,-0.01632553,0,0,0,0,0,0,0,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,12,1.853138,2.138743,2.755336,0.09236303,2.267824,0.2369256,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.498043,-0.7402347,0.9182516,0.4619429,0.274704,-0.8432953,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.513511,-0.6041946,0.5634943,0.58955,-0.6008448,0.53983,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.531467,-0.5957588,0.7707948,-0.1123655,0.7632576,0.6362486,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.331856,1.106336,0.7985404,0.395982,-0.458177,-0.7957841,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.375357,0.9309148,0.4639757,0.6931781,0.5505499,0.4651874,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-1.392135,0.9524293,0.6704274,-0.2389528,-0.6432334,0.7274287,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.487948,-1.031333,0.5735301,-0.5793195,0.376213,-0.723086,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.448574,-0.8929605,0.2215336,-0.5559042,-0.4891785,0.6720678,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.514134,-0.8926679,0.4191914,0.3964671,0.7136538,0.5775061,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.654144,0.8152419,0.4538204,-0.6452805,-0.356668,-0.6755748,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.586738,0.6421508,0.1220155,-0.4522759,0.6622161,0.5974253,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,1.653475,0.6555237,0.3188253,0.2698795,-0.6928377,0.668686,2,1,1,1,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,4,0,0,0,0,0,0,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-0.6742892,-0.7456294,-1.642851,0.1196651,0.05349863,0.991372,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,0.1217944,-0.8232368,-1.734755,0.1196651,0.05349863,0.991372,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-0.5483776,0.6369481,-1.732658,0.1196651,0.05349863,0.991372,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,0.2510718,0.5590127,-1.824952,0.1196651,0.05349863,0.991372,2,1,1,1,0
PART,1,TE.CD2.POD.DROGUES,2,0.0336191,-0.006729654,-0.0004025081,-0.01632834,0,0,0,0,0,0,0,0
PART,2,TE.CD2.POD.MAINS,1,0.15224,-0.901995,0.03209034,-0.7580379,0,0,0,0,0,0,0,0
PART,3,TE.18.DRAGONV2.HEATSHIELD,0,0.590348,0.2042821,0.09393185,1.731878,0,0,0,0,0,0,0,0
PART,4,B10.NDS,0,0.2,-0.2148315,-0.09344479,-1.740311,0,0,0,0,0,0,0,0
