row,part_idx,part_name,stage,mass_t,ax,ay,az,bx,by,bz,power_kn,eP,eY,eR,useZ
COM,-1,Crew-2,0,0,7.069708,-4.030939,2.512321,0,0,0,0,0,0,0,0
REF_RIGHT,-1,ctf.right,0,0,0.3398402,6.258488E-07,-0.9404832,0,0,0,0,0,0,0,0
REF_UP,-1,ctf.up,0,0,-0.8254952,0.4791462,-0.2982894,0,0,0,0,0,0,0,0
REF_FORWARD,-1,ctf.forward,0,0,0.4506288,0.8777351,0.1628337,0,0,0,0,0,0,0,0
PART,0,TE.18.DRAGONV2.POD,0,6.74248,-36.42158,21.21284,-13.20273,0,0,0,0,0,0,0,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,12,0,0,0,0,0,0,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-36.20146,19.54805,-14.11092,-0.5203866,0.8292105,0.2039803,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-36.53511,19.72458,-14.06488,0.9313464,0.2335823,-0.2793444,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-36.38366,19.58985,-14.01715,0.1868907,-0.5411934,0.8198668,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-36.83286,19.54804,-12.3636,-0.2697967,0.8292112,-0.4895091,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-37.06001,19.72457,-12.61229,0.5376565,0.2335816,0.8101637,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-36.91302,19.58984,-12.55218,0.6678045,-0.5411924,-0.5110266,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-34.84061,22.19871,-13.61919,-0.9949356,-0.09511615,0.03250301,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-35.18515,22.35401,-13.57708,0.4093128,-0.7832354,-0.4679801,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-34.99564,22.29343,-13.5156,0.4187881,-0.08950365,0.9036625,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-35.472,22.19871,-11.87186,-0.7443456,-0.09511577,-0.6609863,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-35.71004,22.35401,-12.12448,0.01562285,-0.7832362,0.621528,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-35.52501,22.29342,-12.05062,0.8997017,-0.08950269,-0.427231,2,1,1,1,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,4,0,0,0,0,0,0,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-37.79655,21.6895,-14.43919,0.8254952,-0.4791462,0.2982894,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-37.43374,22.39618,-14.30808,0.8254952,-0.4791462,0.2982894,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-38.26867,21.69079,-13.13054,0.8254952,-0.4791462,0.2982894,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-37.90432,22.40046,-12.99889,0.8254952,-0.4791462,0.2982894,2,1,1,1,0
PART,1,TE.CD2.POD.DROGUES,2,0.0336191,-36.42188,21.21331,-13.20283,0,0,0,0,0,0,0,0
PART,2,TE.CD2.POD.MAINS,1,0.15224,-37.4784,20.9104,-13.5846,0,0,0,0,0,0,0,0
PART,3,TE.18.DRAGONV2.HEATSHIELD,0,0.6,-34.96586,20.36789,-12.6767,0,0,0,0,0,0,0,0
PART,4,TE.18.DRAGONV2.TRUNK,3,2.3,-33.47775,19.50414,-12.13899,0,0,0,0,0,0,0,0
PART,5,TE.19.C.Dragon.Decoupler,4,0.2034,-31.59389,18.41066,-11.45833,0,0,0,0,0,0,0,0
PART,6,TE.19.F9.S2.Tank,4,112.171,-27.87333,16.25117,-10.11392,0,0,0,0,0,0,0,0
PART,7,TE.19.F9.S2.Engine,5,0.443601,-23.28601,13.58865,-8.45623,0,0,0,0,0,0,0,0
PART,8,TE.F9.S2.RCS,4,0.02251,-23.59735,15.29901,-9.785838,0,0,0,0,0,0,0,0
RCSMOD,8,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,8,TE.F9.S2.RCS,4,0,-23.53163,15.2744,-9.688969,-0.6169203,0.1807339,-0.7659928,0.5,1,1,1,0
THRUSTER,8,TE.F9.S2.RCS,4,0,-23.54062,15.19116,-9.791252,-0.5332875,0.8432891,0.06684764,0.5,1,1,1,0
THRUSTER,8,TE.F9.S2.RCS,4,0,-23.53272,15.21967,-9.729211,-0.6309143,0.6367852,-0.44323,0.5,1,1,1,0
PART,9,TE.F9.S2.RCS,4,0.02251,-24.62889,13.28977,-10.15858,0,0,0,0,0,0,0,0
RCSMOD,9,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-24.51145,13.30464,-10.14144,-0.9936087,-0.05332601,-0.09948883,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-24.58367,13.22195,-10.06784,-0.3969277,0.6092355,-0.6864989,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-24.53606,13.26536,-10.09177,-0.8133712,0.2813942,-0.5091608,0.5,1,1,1,0
PART,10,TE.F9.S2.RCS,4,0.02251,-25.40682,13.28976,-8.005704,0,0,0,0,0,0,0,0
RCSMOD,10,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-25.31579,13.22339,-8.045933,-0.7440721,0.6092312,0.274216,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-25.30358,13.30475,-7.942485,-0.827705,-0.05332398,-0.5586244,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-25.29271,13.26536,-7.997746,-0.950969,0.2813926,-0.1283628,0.5,1,1,1,0
PART,11,TE.F9.S2.RCS,4,0.02251,-24.37527,15.299,-7.632958,0,0,0,0,0,0,0,0
RCSMOD,11,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-24.33597,15.19315,-7.593461,-0.3673836,0.8432907,-0.3922879,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-24.26052,15.27396,-7.665899,-0.9640644,0.1807292,0.1947222,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-24.28937,15.21966,-7.635192,-0.7685115,0.636783,-0.06243196,0.5,1,1,1,0
