row,part_idx,part_name,stage,mass_t,ax,ay,az,bx,by,bz,power_kn,eP,eY,eR,useZ
COM,-1,Crew-2,0,0,-52.22104,30.38067,-18.91438,0,0,0,0,0,0,0,0
REF_RIGHT,-1,ctf.right,0,0,0.3398303,-8.34465E-07,-0.9404868,0,0,0,0,0,0,0,0
REF_UP,-1,ctf.up,0,0,-0.8254967,0.479149,-0.298281,0,0,0,0,0,0,0,0
REF_FORWARD,-1,ctf.forward,0,0,0.4506336,0.8777337,0.1628286,0,0,0,0,0,0,0,0
PART,0,TE.18.DRAGONV2.POD,0,5.92246,-52.22104,30.38067,-18.91438,0,0,0,0,0,0,0,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,12,0,0,0,0,0,0,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.00093,28.71588,-19.82257,-0.5203815,0.8292127,0.2039855,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.33458,28.89241,-19.77653,0.9313444,0.2335791,-0.2793543,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.18312,28.75768,-19.7288,0.1868975,-0.5411937,0.819865,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.63231,28.71588,-18.07525,-0.2697989,0.8292121,-0.4895065,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.85946,28.8924,-18.32393,0.5376659,0.2335799,0.8101581,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-52.71248,28.75768,-18.26382,0.6677973,-0.5411947,-0.5110335,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-50.64007,31.36654,-19.33085,-0.9949356,-0.09511262,0.03251356,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-50.98461,31.52184,-19.28874,0.4093051,-0.783237,-0.4679842,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-50.7951,31.46125,-19.22726,0.4187972,-0.08950478,0.9036583,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-51.27144,31.36654,-17.58352,-0.7443529,-0.09511337,-0.6609785,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-51.50949,31.52184,-17.83614,0.01562661,-0.7832361,0.621528,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-51.32444,31.46125,-17.76228,0.899697,-0.08950585,-0.4272405,2,1,1,1,0
RCSMOD,0,TE.18.DRAGONV2.POD,0,4,0,0,0,0,0,0,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-53.59602,30.85733,-20.15082,0.8254967,-0.479149,0.298281,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-53.2332,31.56401,-20.01973,0.8254967,-0.479149,0.298281,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-54.06812,30.85863,-18.84217,0.8254967,-0.479149,0.298281,2,1,1,1,0
THRUSTER,0,TE.18.DRAGONV2.POD,0,0,-53.70377,31.5683,-18.71052,0.8254967,-0.479149,0.298281,2,1,1,1,0
PART,1,TE.CD2.POD.DROGUES,2,0.0336191,-52.22104,30.38067,-18.91438,0,0,0,0,0,0,0,0
PART,2,TE.CD2.POD.MAINS,1,0.15224,-53.2772,30.07808,-19.296,0,0,0,0,0,0,0,0
PART,3,TE.18.DRAGONV2.HEATSHIELD,0,0.6,-50.76534,29.53573,-18.38838,0,0,0,0,0,0,0,0
PART,4,TE.18.DRAGONV2.TRUNK,3,2.3,-49.27726,28.672,-17.85069,0,0,0,0,0,0,0,0
PART,5,TE.19.C.Dragon.Decoupler,4,0.2034,-47.39352,27.5786,-17.17002,0,0,0,0,0,0,0,0
PART,6,TE.19.F9.S2.Tank,4,112.171,-43.673,25.41907,-15.82567,0,0,0,0,0,0,0,0
PART,7,TE.19.F9.S2.Engine,5,0.443601,-39.08538,22.75625,-14.168,0,0,0,0,0,0,0,0
PART,8,TE.F9.S2.RCS,4,0.02251,-39.39702,24.46689,-15.49759,0,0,0,0,0,0,0,0
RCSMOD,8,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,8,TE.F9.S2.RCS,4,0,-39.33129,24.44228,-15.40073,-0.6169227,0.1807343,-0.7659908,0.5,1,1,1,0
